City,State,Geo.ID,Percent of GDP based on water intensive industries_2015,Percentage of workforce in Farming Fishing and Forestry 2015,Existence of drought management plans_2015,Existence of water management plan_2015,Baseline water stress_2014,Readiness to accept adaptation investment_2015,Tax incentives for renewable energy_2015,Total number of federal public corruption convictions by district_2015,Civic engagement_2010,General innovation capabilities_2015,Estimated percent of adults who think global warming is already harming people in the US now or within 10 years_2014,Percent of population with less than 12th grade education_2015,Population density_2015,Water quality_2015,City debt_2010,Percent of population in floodzone_2015,Percent of buildings in floodzone_2015,Percent of cars in floodzone_2015,Percent of area that is impervious surface_2011,Number of acute care hospital beds available per 1000 residents_2015,Percent of population that is 65 years old or older living alone_2015,Percent of population that is 5 years old or younger_2015,Percent of population with health insurance_2015,Percent of buildings built before 1999_2015,Percent of population residing in the mobile homes_2015,Percent of population spending over 50 percent of income on rent_2015,Percent of land covered by tree canopy_2011,Percent of houses with heating_2015,Percent of population with a disability_2015,Percent of population in poverty_2015,Percent of buildings built before 1979_2015,Outdoor workers_2015,Percent of households without access to a vehicle_2015,Percent of population in 1ft sea level rise zone_2015,Percent of population in 3ft sea level rise zone_2015,Average economic impact of 1ft sea level rise_2015,Average economic impact of 3ft sea level rise_2015,,Latitutde,Longitude,County,Region, City Area_KM,2010 Population,2011 Population,2012 Population,2013 Population,2014 Population,2015 Population,Median Income
Columbus (OH),OH,1600000US3918000,12.48435997,0.102080151,Yes,No,2.714624541,21,1,12,0.771918186,0.000199052,43,11.5,1442.505792,4,1815.37,24.7,23.72,12.11823259,38.50746938,6.312881747,7.7460833,7.6,86.6,85.55,0.9,23.4,15.6624509,0.998,11.8,18.2565337,57.3,10.06,9.7,#N/A,#N/A,,,,39.9612,-82.9988,Franklin,Ohio Valley ,571.6878259,770407,779573,790168,800594,811943,824663,45659
Concord,CA,1600000US0616000,10.49677557,0.268954707,Yes,No,0,0,0,12,0.566943191,0.000947022,50,12.9,1613.001029,0,982.79,9.33,8.56,8.729572769,33.92279161,1.94031742,8.8286463,6.9,87,95.07,2.6,28.7,6.884182269,0.991,12,9.2800987,77.2,14.41,6.3,0.000791966,0.011879494,2.70E-06,2.70E-06,,37.978,-122.0311,Contra Costa,West,78.28141318,121326,121989,122683,123658,125017,126268,68318
Coral Springs,FL,1600000US1214400,6.293377526,0.020128201,No,Yes,2.810303512,20,0,42,0.802010784,0.000232211,49,7.7,1965.495081,11,804.56,34.68,37.25,34.47906101,31.2529255,1.436770267,5.0947721,6.7,81,90.17,0.5,27,19.47368878,0.977,8.5,10.7737054,30.5,9.46,5,#N/A,#N/A,,,,26.2712,-80.2706,Broward,Southeast,64.44839329,121116,121275,122219,123476,125150,126673,66430
Corona,CA,1600000US0616350,11.19193384,0.293099939,No,No,5,0,0,53,0.528115276,0.000116186,48,15.2,1587.355111,11,2574.46,8.58,7.57,7.57409581,36.44647464,1.491274789,5.311903,7,85.1,81.11,3.4,30.2,4.700307066,0.989,7.6,8.9791511,26.5,12.05,3.6,#N/A,#N/A,,,,33.8753,-117.5664,Riverside,West,100.5414597,150497,152111,153644,155227,157395,159595,74149
Corpus Christi,TX,1600000US4817000,18.14292574,0.114272577,Yes,Yes,5,19,0,11,0.450984125,7.39E-05,43,18.6,757.3444725,8,2026.62,86.46,88.13,9.879315547,27.82605033,6.104014685,8.3071322,6.7,80.9,85.5,2.3,20.8,8.555392651,0.996,13.9,17.5801493,56.5,14.81,8.6,6.435122728,9.47006916,0.039386584,0.043738181,,27.8006,-97.3964,Nueces,South,417.9247509,299324,302113,305427,308993,312680,316513,50658
Costa Mesa,CA,1600000US0616532,10.45625624,0.404635504,No,Yes,4.66866597,0,0,53,0.47675323,0.000914935,45,15.3,2769.922103,0,277.95,1.9,1.89,0.083339402,58.9146525,11.92414818,6.6172876,6.7,81.3,93.61,1.9,27.2,3.946736004,0.923,7.5,6.1528307,76,11.58,4.8,0.233143793,0.273187574,0.000383808,0.000412096,,33.6412,-117.9188,Orange,West,40.57045499,109316,109796,110322,110871,111635,112377,66459
Dallas,TX,1600000US4819000,17.66200426,0.1361441,Yes,Yes,2.765091863,17,3,48,0.473772386,0.000292555,48,25.5,1260.585606,0,5062.37,14.75,13.7,5.211870422,29.85694266,5.26696534,7.505516,8.1,72.4,85.76,1.1,22.5,26.32766125,0.996,9.7,16.9504808,58.3,17.99,10.1,#N/A,#N/A,,,,32.7767,-96.797,Dallas,South,1000.081227,1187285,1196258,1207202,1222167,1240985,1260688,43781
Daly City,CA,1600000US0617918,10.49677557,0.058699016,No,Yes,4.283326936,0,1,12,0.399106543,0.005322339,52,14.6,5360.480333,0,568.4,0.48,0.48,0.330966296,51.47821742,3.402268179,8.0836304,5.1,88.2,95.2,1.5,26.4,14.99139305,0.97,8,6.3975335,76.6,11.32,8.8,0.221099781,0.395501763,0.000152912,0.000196601,,37.6879,-122.4702,San Mateo,West,19.57473836,99829,100556,101538,102605,103897,104930,74449
Davenport,IA,1600000US1919000,21.0582877,0.249928299,No,No,0,18,0,2,0.527013211,0.000170594,38,9.4,609.8967503,0,1164.05,19.35,20.89,17.55475526,20.90478937,7.745697653,10.43309,7.1,90.6,89.94,2.6,22.6,10.91929041,0.992,11.4,16.2311436,75.7,12.35,8.5,#N/A,#N/A,,,,41.5236,-90.5776,Scott,Upper Midwest,167.0167942,98325,99010,99781,100564,101316,101863,47343
Dayton,OH,1600000US3921000,15.67107076,0.079558911,No,Yes,0.052951277,19,0,12,0.891731644,0.000219198,41,17.9,976.4721581,0,1132.95,8.14,7.94,8.606797265,33.00159901,16.85671439,12.338614,6.6,85.4,95.11,1.2,31.2,17.23007271,0.996,19.1,31.479866,88.2,12.63,21.2,#N/A,#N/A,,,,39.7589,-84.1916,Montgomery,Ohio Valley ,144.7742251,145609,144044,142670,143446,141776,141368,27683
Denton,TX,1600000US4819972,17.66200426,0.141369398,Yes,No,2.765091863,19,0,3,0.766243542,0.000471407,40,11.2,543.9465203,4,3019.55,18.41,18.21,13.33405627,14.77022247,4.342500835,7.6923077,5.4,81.1,65.43,4,31.3,17.78260057,0.998,10.2,9.6559607,32.8,10.67,5.8,#N/A,#N/A,,,,33.2148,-97.1331,Denton,South,231.1514006,109192,111960,115098,117895,122742,125734,49100
Denver,CO,1600000US0820000,10.10084277,0.175095154,Yes,Yes,5,21,6,0,0.605231455,0.000135457,50,13.9,1639.762616,13,8487.59,4.22,3.8,3.878783716,36.28285486,4.051387354,8.9512138,6.9,85.5,84.22,0.3,23.3,5.447031856,0.993,9.5,11.4175384,69.3,11.89,11,#N/A,#N/A,,,,39.7392,-104.9903,Denver,Southwest,396.1878344,578087,590507,604356,619297,633777,649654,53637
Des Moines,IA,1600000US1921000,6.044203879,0.222449058,Yes,No,2.63677603,19,0,2,0.496432172,0.000245375,41,12.7,981.2542823,4,2263.79,33.78,35.87,2.628091991,25.73525872,7.504086146,9.8339391,7.8,90.2,91.41,2.3,26.3,13.80881895,0.995,13,23.8701861,77.9,13.1,8.8,#N/A,#N/A,,,,41.6005,-93.6091,Polk,Upper Midwest,211.9939793,202095,203386,204362,205415,206702,208020,46290
Detroit,MI,1600000US2622000,19.33395333,0.448052586,No,No,0,19,3,4,0.555887705,0.000509846,42,21.7,1932.029592,0,13700.82,1.33,1.31,1.602819273,59.42641767,5.113944302,11.7107218,7.1,83.3,96.71,0.4,37.3,10.69385117,0.992,19.8,43.446078,92.2,14.89,25,#N/A,#N/A,,,,42.3314,-83.0458,Wayne,Upper Midwest,357.1756886,759340,738223,721459,706663,695437,690074,25764
Downey,CA,1600000US0619766,10.45625624,0.21651542,No,No,5,16,0,53,0.457511553,0.000361114,48,23.9,3494.730545,12,373.73,1.07,1.09,4.03899457,61.45088656,7.406950188,6.3351457,6.9,81.8,97.23,0.7,26,4.035660972,0.95,8.3,8.882644,85.7,11.77,4.7,#N/A,#N/A,,,,33.9401,-118.1332,Los Angeles,West,32.45085667,110921,111329,111807,112334,113082,113407,62897
Durham,NC,1600000US3719000,31.70561641,0.339278016,Yes,Yes,1.846318202,21,0,0,0.830082217,0.001028333,50,12.9,884.5818364,2,1220.68,10.05,10.34,10.14555695,18.37012806,6.640009103,7.7920269,7.4,84.3,75.06,1.1,24.5,56.61324869,0.996,9.7,13.7235979,39.9,11.7,10,#N/A,#N/A,,,,35.994,-78.8986,Durham,Southeast,278.1924632,220324,224930,229963,234922,240107,246084,50420
El Monte,CA,1600000US0622230,10.45625624,0.691209936,No,Yes,5,0,0,53,0.285993612,0.000361114,48,42.2,4646.86081,0,938.12,0,0,,63.01987757,15.06339069,6.4028356,6.6,72.9,94.45,4.1,37.7,3.754061746,0.798,9.5,16.5582726,74.8,19.22,10,#N/A,#N/A,,,,34.0686,-118.0276,Los Angeles,West,24.90089648,113888,113763,114032,114412,115243,115711,38085
El Paso,TX,1600000US4824000,1.895406752,0.237009895,No,Yes,4.881857006,16,2,29,0.393723256,4.09E-05,47,22,1014.592647,5,1151.22,8.1,7.85,1.896125696,26.33198843,3.532325435,8.1524547,7.8,76.2,79,2.7,19.6,8.094624557,0.998,13.1,22.8482613,51.7,10.85,7.9,#N/A,#N/A,,,,31.7619,-106.485,El Paso,South,666.5975771,628923,640066,650778,660795,669771,676325,42772
Elgin,IL,1600000US1723074,13.92166333,0.192971388,No,Yes,3.97435573,20,0,16,0.743572289,0.000342932,41,22.1,1157.435491,0,1073.43,8.73,8.66,8.786733447,32.77225177,3.915971634,8.0256593,9.1,84.1,82.65,2.4,23.6,11.8977899,0.996,8.6,15.2216679,56.3,14.87,5.5,#N/A,#N/A,,,,42.0354,-88.2826,Cook/Kane,Ohio Valley ,96.85636986,106837,108681,109513,109825,110906,112105,60499
Elizabeth,NJ,1600000US3421000,0.030011761,0.254995051,No,No,4.392663299,18,1,23,0.074594631,0.000477454,49,27.2,4007.358758,12,891.14,5.04,5.39,3.877599384,71.75481293,3.929273084,7.6940633,8.6,73.4,87.82,0.1,28.7,5.925393987,0.994,9,19.2630538,78.2,22.85,24.4,1.789306429,2.748925712,0.001526176,0.001867444,,40.664,-74.2107,Union,Northeast,31.88109868,123176,123905,124795,125888,126964,127759,43568
Elk Grove,CA,1600000US0622020,7.339846128,0.215863176,Yes,Yes,0.185220496,0,1,14,0.600799696,0.00012689,48,9.5,1488.461779,0,478.94,4.91,4.98,5.241815844,30.99233187,4.134488838,5.4424528,6.4,92.7,53.95,0.6,26,4.951733783,0.998,11.1,7.5269689,9.7,7.4,3.1,#N/A,#N/A,,,,38.4088,-121.3716,Sacramento,West,108.2217913,141200,146537,151639,155350,158455,161084,79487
Escondido,CA,1600000US0622804,11.9488786,3.178557946,No,Yes,5,0,1,7,0.570002046,0.001694023,45,26.4,1556.875993,1,1093.35,5.46,4.96,4.443734271,28.61859272,3.890554672,8.618814,8.3,78.2,89.44,7,29.5,5.788653935,0.963,9.9,9.4069847,50.2,22.72,6.6,#N/A,#N/A,,,,33.1192,-117.0864,San Diego,West,95.75521795,140998,142573,144311,145859,147603,149079,50899
Eugene,OR,1600000US4123850,14.72559698,0.694662427,No,No,1.27728685,20,0,3,0.679747,0.000221251,46,6.5,1413.380502,0,2287.04,10.52,10.59,10.64824582,41.08783569,0.557591705,11.6487374,4.6,88.2,85.17,3.4,37.6,19.87955732,0.994,13.4,21.0914923,59.3,8.36,11.3,#N/A,#N/A,,,,44.0521,-123.0868,Lane,Northwest,112.9313726,153288,154935,156222,157318,158131,159615,43101
Evansville,IN,1600000US1822000,37.29281768,0.168612662,No,No,0,0,0,5,0.676636495,0.000419183,38,12.5,1051.149539,5,1574.79,10.11,10.38,10.98014694,31.54896815,8.451735268,12.4183261,6.8,85.9,93.5,1,24.5,19.41444269,0.999,16.3,18.4139182,78.9,13.54,11.2,#N/A,#N/A,,,,38.0903,-89.9384,Vanderburgh,Ohio Valley ,114.3624151,118186,117942,119226,119677,120220,120212,35785
Everett,WA,1600000US5322640,14.90240839,0.58429894,Yes,No,0,0,0,5,0.608486016,0.000583939,45,11.9,1148.761137,0,1293.36,8.45,8.56,11.70380426,36.36774539,8.042768605,10.8129946,6.8,85.6,85.8,2.8,23.8,27.22980535,0.992,15.8,23.0376197,52.2,13.91,11.9,5.795524436,7.275393859,0.005033353,0.006020339,,47.979,-122.2021,Snohomish,Northwest,91.99910808,101667,102569,103135,103918,104708,105685,49578
Fairfield,CA,1600000US0623182,27.62394381,1.033882473,Yes,No,0,0,1,14,0.578405132,0.000157368,46,14.4,1135.166716,0,1972.91,9.93,10.44,7.829948551,33.7536636,1.205831841,7.9600266,6.9,90,79.02,2.1,25.9,6.205857911,0.994,11.4,11.463478,41.6,13.21,5.7,0.012789126,0.080388789,0.000176681,0.000832601,,38.2494,-122.04,Solano,West,96.43341231,103698,104404,105407,106533,107983,109468,67364
Fargo,ND,1600000US3825700,8.618331054,0.600299401,Yes,No,4.074599077,20,0,1,0.775680326,0.000344615,36,5.4,889.9868402,0,2207.1,34.83,32.82,35.15506776,33.28477066,6.662906296,8.8347144,6.3,90.5,77.8,1.5,19.3,2.610283918,0.991,9.7,10.1857412,44.2,11.96,8.1,#N/A,#N/A,,,,46.8772,-96.7898,Cass,Northern Rockies & Plains,127.4895256,102527,104193,106005,108371,110725,113464,46175
Fayetteville,NC,1600000US3722920,10.23603508,0.218410473,No,No,1.846318202,20,0,4,0.80258869,3.70E-05,42,8.8,532.6591563,0,1246.75,16.03,15.31,16.90761068,17.27901982,3.831701404,8.1005622,8.1,87,81.43,3.6,19.3,41.63700333,0.996,15.2,17.4479532,46.8,8.77,7.1,#N/A,#N/A,,,,35.0527,-78.8784,Cumberland,Southeast,380.2074885,198875,200105,200439,201755,202421,202521,43630
Fontana,CA,1600000US0624680,11.19193384,0.332858378,Yes,Yes,5,0,0,53,0.402146179,0.000103591,47,27.5,1859.927056,0,2749.67,2.06,2.01,1.329228895,40.3147628,2.209380539,3.7758879,7.5,79.4,74.43,2.2,29.8,2.266337996,0.974,8.3,15.4097049,32.1,17.05,3.7,#N/A,#N/A,,,,34.0922,-117.435,San Bernardino,West,109.5080581,189466,192779,196129,198692,201355,203677,64824
Fort Collins,CO,1600000US0827425,18.64100245,0.256478825,No,Yes,5,0,0,0,0.853996511,0.001231825,44,4,1076.821844,0,1278.65,4.63,4.57,4.58432889,23.33510648,1.6569684,7.2575444,5.4,91.3,77.59,2.7,34.1,5.093821954,0.998,7.7,7.2965817,39.3,8.28,5.2,#N/A,#N/A,,,,40.5853,-105.0844,Larimer,Southwest,142.3559531,140082,142332,144329,146822,149627,153292,55647
Fort Lauderdale,FL,1600000US1224000,6.293377526,0.100366041,No,Yes,3.813670521,20,1,42,0.815009472,0.000232211,49,14.1,1814.589334,12,1005.8,51.12,55,49.97696467,48.34675963,8.814887365,11.8113989,5.6,79.3,87.31,1.1,30.6,15.5396013,0.963,14,16.7170438,76.3,13.01,9.7,21.61606268,28.66221121,0.056648034,0.24385358,,26.1224,-80.1373,Broward,Southeast,95.65249652,167276,166712,167370,168603,171137,173570,50778
Fort Wayne,IN,1600000US1825000,23.52443609,0.12495251,No,No,3.368071252,20,0,7,0.628386251,0.000313658,38,11.7,904.2568744,0,494.28,8.35,8.87,8.327291455,29.71732424,4.014642553,10.9540152,7.5,84.7,93.11,2.5,21.8,14.10274675,0.998,12.6,16.0462683,66.6,10.71,8.6,#N/A,#N/A,,,,41.0793,-85.1394,Allen,Ohio Valley ,284.2765228,253721,254228,253617,254435,255784,257059,43774
Fort Worth,TX,1600000US4827000,17.66200426,0.180990256,Yes,Yes,2.765091863,18,2,48,0.611384179,0.000247581,42,19.2,883.4769313,4,1192.44,9.07,9.18,6.999792201,26.81939283,4.619552255,7.3009651,8.4,78.4,69.04,1.5,23,15.16177176,0.997,10.4,15.8087012,43.5,13.66,6.5,#N/A,#N/A,,,,32.7555,-97.3308,Tarrant,South,901.6805892,705349,724699,743865,761092,778573,796614,53214
Fremont,CA,1600000US0626000,10.49677557,0.120708276,Yes,Yes,4.156915655,0,1,12,0.5797187,0.001952702,55,7.7,1143.975366,0,1541.34,12.09,12.19,26.09340078,27.81888324,1.984717233,5.9284024,6.4,93.3,93.48,1.1,17.4,8.126884718,0.992,7.4,5.1386825,59.5,5.97,4.1,1.498084104,6.035849233,0.001153573,0.001804003,,37.5483,-121.9886,Alameda,West,196.8757428,209235,211748,215188,218172,221654,225221,105355
Fresno,CA,1600000US0627000,19.62657739,4.296033072,Yes,Yes,5,0,4,14,0.498999708,7.53E-05,47,24.8,1771.365524,5,1532.33,2.87,2.92,3.187811188,44.85223905,3.140360191,8.4304013,8.9,83.6,84.19,2.3,33.9,3.758456826,0.992,13,24.2597922,54.6,16.72,11.5,#N/A,#N/A,,,,36.7468,-119.7726,Fresno,West,288.1680789,484008,489922,495777,500819,506132,510451,41531
Frisco,TX,1600000US4827684,17.66200426,0.093305007,Yes,Yes,2.765091863,20,1,3,0.853491371,0.001540219,41,4.1,853.3516149,0,NULL,7.24,7.11,10.941578,29.22234049,1.74169249,3.4893954,7.6,91.4,31.59,0.8,16.1,11.03944173,0.999,5.5,2.9129631,4,4.24,1.2,#N/A,#N/A,,,,33.1507,-96.8236,Collin/Denton,South,161.4773999,103158,110013,116944,123663,130499,137797,114098
Fullerton,CA,1600000US0628000,10.45625624,0.324038154,Yes,Yes,5,0,0,53,0.687307883,0.000914935,45,13.4,2406.449075,0,422.71,1.74,1.56,1.50180966,50.34097301,2.525615934,7.501499,6.3,83.7,90.45,1.8,29.7,5.934176586,0.975,8.7,7.5126024,74.9,9.45,5.8,#N/A,#N/A,,,,33.8704,-117.9242,Orange,West,57.75148181,132872,134079,135419,136702,137945,138976,65974
Gainesville,FL,1600000US1225175,6.424102016,0.316957211,No,Yes,2.216669109,0,0,14,0.744162276,0.000735589,45,7.9,777.7081836,3,4239.56,20.26,20.46,21.61267261,13.50507582,12.23747442,7.198549,4.4,85.6,84.87,2.2,33.4,60.44360592,0.991,9.4,12.4958306,49.2,6.44,12.3,#N/A,#N/A,,,,29.6516,-82.3248,Alachua,Southeast,164.0191047,124271,124597,124981,125845,126465,127559,31818
Garden Grove,CA,1600000US0629000,10.45625624,0.265574584,Yes,No,5,0,0,53,0.516933137,0.000914935,45,26.3,3766.142651,0,719.2,11.33,10.31,0.597374854,61.10850298,0.955809548,7.1024299,5.8,83,94.94,3.7,32.1,3.398502061,0.95,8.9,13.172901,80.2,13.88,5.4,#N/A,#N/A,,,,33.7743,-117.938,Orange,West,46.39256029,169009,170148,171377,172785,173853,174721,58449
Garland,TX,1600000US4829000,17.66200426,0.294696364,No,Yes,2.765091863,0,0,48,0.703028825,0.000292555,48,23.7,1579.992659,3,1966.12,9.44,9.5,35.67502167,39.87541828,0.653251527,6.7599317,7.4,73.9,89.2,0.3,25.1,15.57612314,0.998,10.9,15.2498932,54.9,17.49,4.7,#N/A,#N/A,,,,32.9126,-96.6389,Dallas,South,148.2367647,222962,225424,227641,230177,232305,234213,51970
Glendale (AZ),AZ,1600000US0427820,11.40665915,0.421773577,Yes,Yes,4.60448598,17,0,18,0.731058763,0.000429552,44,16.4,1510.900763,6,2203.15,3.99,3.9,6.432335884,40.38724031,3.070123146,7.1861734,7.3,82.8,86.67,5.7,24.7,2.126033667,0.993,11.5,19.8112492,38.8,13.61,8.7,#N/A,#N/A,,,,33.5387,-112.186,Maricopa,Southwest,155.433107,229687,229611,229331,230047,231978,234844,46776
Glendale (CA),CA,1600000US0630000,10.45625624,0.050910982,Yes,No,5,0,0,53,0.269758884,0.000361114,48,15.6,2496.289109,0,1166.94,14.21,13.42,0.012940915,30.04410746,5.112090322,10.1359479,5.2,84.3,95.65,0.1,36.4,11.6061608,0.982,13.7,9.5792889,74.6,6.59,12.6,#N/A,#N/A,,,,34.1425,-118.2551,Los Angeles,West,78.91073164,192190,192069,192537,193381,195380,196984,52574
Grand Prairie,TX,1600000US4830464,17.66200426,0.189971283,Yes,Yes,2.765091863,0,0,48,0.628337561,0.000292555,48,20.1,872.710435,0,1339.58,22.96,23.34,27.65853886,26.47321945,0.223433243,4.1894723,7.6,77.9,69.91,2.8,19.1,22.30125129,0.997,8.3,13.043111,35.8,15.62,3.4,#N/A,#N/A,,,,32.746,-96.9978,Dallas,South,210.2644733,165776,170467,174631,178195,181135,183500,56475
Grand Rapids,MI,1600000US2634000,26.47500417,1.356205719,No,No,4.379472393,19,3,2,0.86347479,0.000314814,39,14.9,1651.656076,0,2321.22,0,0,0,43.90699103,6.740603692,10.2648372,7.6,87.4,94.36,0.3,30.8,19.70187842,0.996,12.7,25.3307041,81.4,13.31,13.7,#N/A,#N/A,,,,42.9634,-85.6681,Kent,Upper Midwest,116.4988297,190441,189853,189340,189735,190739,192416,40355
Green Bay,WI,1600000US5531000,22.95442359,1.281271461,No,No,3.30035373,19,0,5,0.797343175,0.000137407,39,13.4,873.5523422,6,2195.11,14.71,14.24,13.91554132,30.65682626,10.58685513,10.1493807,7.8,88.2,92.08,0.9,21.8,17.84858238,0.994,13.1,19.5967666,70.7,13.89,8.5,#N/A,#N/A,,,,44.5192,-88.0198,Brown,Upper Midwest,120.023718,103960,104420,104226,104393,104574,104847,42826
Greensboro,NC,1600000US3728000,27.79784312,0.134891405,No,No,1.846318202,21,2,0,0.846373854,0.00029205,45,11.3,825.3604358,6,1447.82,9.35,8.97,9.681666648,27.43743459,4.419759007,10.0911641,6.4,84.7,83.26,1.2,22.3,41.22485348,0.998,9.9,15.7328191,47.5,11.13,8.1,#N/A,#N/A,,,,36.0726,-79.792,Guilford,Southeast,338.5514835,263358,267095,270619,273228,276225,279427,41628
Gresham,OR,1600000US4131250,27.42151207,1.473131626,No,Yes,0,19,0,3,0.58840987,0.000415139,53,15.8,1798.004727,0,719.54,2.5,2.55,412.9208681,42.43870786,1.015479196,9.6639414,7.5,85.4,84.2,3.3,28.9,22.28533072,0.996,15.3,27.9318082,50.5,16.62,10.1,0.112526073,0.112526073,0.000961557,0.000981181,,45.5001,-122.4302,Multnomah,Northwest,60.79405598,101450,103637,105612,107196,108250,109308,46956
Hampton,VA,1600000US5135000,1.501617957,0.248249104,No,No,2.97177735,20,1,40,0.491561023,1.46E-05,45,10.1,1007.258149,0,2463.11,37.26,35.05,31.41300541,25.18700673,4.997045542,10.5591235,6.3,87.5,90.19,1,30.5,24.52338065,0.997,12.5,13.8439743,63.1,12.65,8.6,0.030638819,22.95650017,0.004229593,0.073453506,,37.0299,-76.3452,Hampton,Southeast,136.0932152,139046,138148,137471,136957,136904,137081,49190
Hartford,CT,1600000US0937000,11.23175363,0.264089913,No,No,1.58334778,7,1,6,0.675717038,0.000634377,43,29.4,2692.028786,13,1584.66,9.72,9.69,13.05751212,48.44708735,13.87074803,10.2632684,7,85.5,95.98,0,33.4,20.59677078,0.985,15.4,42.9076682,84.7,16.26,33.8,8.368925037,8.380944749,2.80E-05,4.20E-05,,41.7637,-72.6851,Hartford,Northeast,46.3572309,124760,124817,124879,125130,125211,124795,30630
Hayward,CA,1600000US0633000,10.49677557,0.360863349,No,Yes,5,0,1,12,0.551481409,0.001952702,55,19.9,1323.189802,0,789.29,15.43,14.44,10.57292489,32.22949007,1.423875171,6.9809261,6.6,85.5,90.75,4.5,28.6,12.0044936,0.981,10.1,14.2851026,68.4,15.37,6.7,13.58258804,15.63572418,0.003569622,0.0067404,,37.6688,-122.0808,Alameda,West,115.1769759,141498,142936,145165,147163,149596,152401,65096
Henderson,NV,1600000US3231900,4.729880107,0.128865979,Yes,No,1.835717034,19,0,0,0.642406601,0.000205348,45,7.3,981.783924,0,974.9,4.43,4.41,4.328253436,31.14281982,1.453675591,9.5308732,5.1,88.7,60.7,1.4,21.1,1.633157547,0.998,11.2,7.0187191,8.2,8.49,3.8,#N/A,#N/A,,,,36.0395,-114.9817,Clark,West,276.7666014,249250,254055,258270,261953,266245,271725,63120
Hialeah,FL,1600000US1230000,6.293377526,0.135612682,No,No,1.86227586,0,0,42,0.465954723,0.000140581,51,29.3,3814.178873,12,374.92,45.16,45.56,50.88147317,52.86399939,4.196596709,11.9605889,5.1,68,96.4,1.4,40.8,12.02892355,0.967,11.6,45.2346899,69.1,20.9,12.8,8.569578295,8.751075777,0.001069997,0.002401447,,25.8576,-80.2781,Miami-Dade,Southeast,61.53722933,224277,225160,226837,228943,232311,234714,29249
High Point,NC,1600000US3731400,27.79784312,0.035538831,Yes,No,1.663198761,20,1,0,0.666991158,0.00029205,45,15.1,758.3914343,0,1421.41,8.65,8.58,8.14893617,27.74810557,3.554535272,10.382447,6.9,83.4,76.25,0.6,25.4,39.24361305,0.996,12.8,20.552559,47.1,10.15,9.4,#N/A,#N/A,,,,35.9557,-80.0053,Guilford,Southeast,142.4475477,100903,102858,104394,105723,106797,108031,42299
Hollywood,FL,1600000US1232000,6.293377526,0.209076717,No,No,1.86227586,0,0,42,0.677249287,0.000232211,49,13.1,1895.205269,3,1109.26,43.05,47.5,41.70174295,39.09731564,7.609458346,11.4880963,5.6,77.5,93.68,1.2,30.8,20.36754231,0.949,12.7,16.3212296,76.4,13.22,8.6,9.162687086,20.4126956,0.032999804,0.094115806,,26.0112,-80.1495,Broward,Southeast,77.45387924,141249,141198,142060,143273,145128,146791,46791
Honolulu,HI,1600000US1571550,4.750085594,0.209222661,No,No,0.723123993,20,0,5,0.432066054,8.94E-05,52,11.8,2049.917589,0,7750.25,19.13,18.53,28.18012805,0,3.850873487,12.2396345,5.3,93.9,91.2,0.1,25.8,42.70564065,0.41,10.9,10.9571699,72.8,11.03,17.7,0.375603854,1.034563026,0.002143824,0.003225449,,21.3069,-157.8583,Honolulu,Pacific Islands ,169.7497508,330749,335282,341727,340639,345130,347973,61442
Houston,TX,1600000US4835000,32.85981874,0.241645513,No,No,NA,18,4,11,0.664953483,0.000328026,47,23.3,1345.111624,6,4183.01,18.8,18.63,19.59233904,41.88352714,5.174716576,7.3806867,7.8,73.4,81.72,0.9,23.2,26.65642446,0.994,9.8,15.67176,58.2,17.51,9.3,1.043826368,1.158900233,0.000526776,0.000720928,,29.7604,-95.3698,Harris,South,1648.715215,2068026,2089090,2107449,2134707,2167988,2217706,46187
Huntington Beach,CA,1600000US0636000,10.45625624,0.15879635,Yes,Yes,3.375596259,18,0,53,0.681963153,0.000914935,45,7.6,2784.841888,0,1475.62,16.09,16.26,3.725775786,58.9817683,0.662445892,9.6897663,4.9,89.8,94.5,3.8,25.6,3.570084714,0.951,9,5.4270749,74.6,8.15,4,4.370625834,11.63022371,0.041382234,0.106667373,,33.6595,-117.9988,Orange,West,71.01013555,188914,189744,191403,193197,195686,197752,83252
Huntsville,AL,1600000US0137000,14.61151435,0.217965914,No,Yes,4.861585331,21,0,13,0.939068518,0.000432978,38,9.8,342.3722528,0,2654.12,5.99,6.09,26.12544683,13.7309784,5.65751048,10.549431,6.3,85.7,80.91,1.8,24.4,34.65380499,0.997,13.4,14.4868498,54.9,9.49,6.5,#N/A,#N/A,,,,34.7304,-86.5861,Madison,Southeast,542.0824803,175416,177879,179855,182317,184132,185594,48775
Independence,MO,1600000US2935000,11.83588339,0.202568942,No,No,0.532987,0,0,6,0.567945952,0.000114553,44,12.4,584.6475798,0,579.54,10.47,10.25,4.537871205,18.05154777,1.885794252,12.1085422,6.6,85.4,91.85,2,23.7,20.50730057,0.999,16.6,14.6689297,74.7,13.51,7.3,#N/A,#N/A,,,,39.0911,-94.4155,Jackson,Ohio Valley ,200.4489611,115578,116118,116513,116881,117160,117192,43472
