City,State,Geo.ID,Risk,Vulnerability,Exposure,Sensitivity,Adaptive Capacity,Readiness,Social,Governance,Economic,Historical Average Cost of Heat Event,Probability of Heat Event in 2040
Orlando,FL,1600000US1253000,0.306043367,0.422627585,0.189459148,0.407817505,0.562562334,0.480056867,0.527004959,0.685325362,0.22784028,0,0.10656
Overland Park,KS,1600000US2053775,0.27883126,0.349357416,0.208305105,0.214091505,0.515376674,0.70865866,0.754876308,0.740480725,0.630618946,0,0.13115
Oxnard,CA,1600000US0654652,0.782544341,0.749804685,0.815283997,0.570486039,0.070876669,0.248254257,0.234226531,0.213017633,0.297518608,0,0.0081967
Palm Bay,FL,1600000US1254000,0.326993085,0.539892056,0.114094114,0.503168485,0.423384373,0.3072111,0.293524192,0.359600189,0.268508918,0,0.15301
Palmdale,CA,1600000US0655156,0.3944363,0.681868105,0.107004494,0.534837668,0.171101457,0.237598065,0.183483624,0.276550039,0.252760533,0,0.046448
Pasadena (CA),CA,1600000US0656000,0.58224977,0.492701354,0.671798185,0.393455026,0.408052318,0.22542905,0.184976659,0.462357496,0.028952995,0,0.030055
Pasadena (TX),TX,1600000US4856000,0.479430871,0.630162134,0.328699609,0.534460473,0.274136206,0.294680744,0.12382514,0.485737142,0.274479951,0,0.062842
Paterson,NJ,1600000US3457000,0.877648064,0.755373185,0.999922942,0.759937506,0.249191137,0.377104801,0.146226633,0.377702858,0.607384914,0,0.087432
Pembroke Pines,FL,1600000US1255775,0.477052796,0.482651444,0.471454148,0.353923179,0.388620291,0.515040754,0.420885074,0.583009821,0.541227368,0,0.12568
Peoria (AZ),AZ,1600000US0454050,0.279906883,0.502894667,0.0569191,0.285564542,0.279775208,0.536359867,0.367982624,0.661296108,0.57980087,0,0.079235
Peoria (IL),IL,1600000US1759000,0.297083064,0.397852661,0.196313467,0.583542766,0.787837445,0.64470803,0.666778335,0.712678373,0.554667381,0,0.15027
Philadelphia,PA,1600000US4260000,0.814410403,0.650854923,0.977965882,0.773531676,0.471821829,0.570532309,0.282320324,0.750107189,0.679169413,3,0.04918
Phoenix,AZ,1600000US0455000,0.454133801,0.640397808,0.267869794,0.428471932,0.147676316,0.478738741,0.181508193,0.578358744,0.676349286,0,0.081967
Pittsburgh,PA,1600000US4261000,0.464174019,0.350313151,0.578034888,0.578025672,0.87739937,0.56332298,0.524551291,0.751178564,0.414239084,0,0.14754
Plano,TX,1600000US4858016,0.349303198,0.314072625,0.384533771,0.068669237,0.440523987,0.735970256,0.680927837,0.752273173,0.774709758,0,0.071038
Pomona,CA,1600000US0658072,0.671181449,0.609375999,0.732986899,0.578960515,0.360208516,0.290655466,0.186377004,0.254196796,0.431392597,0,0.027322
Ponce,PR,1600000US7263820,0.288477479,0.365790921,0.211164038,0.620399463,0.888817621,0.413045062,0.401945034,0.251956846,0.585233304,0,
Port St. Lucie,FL,1600000US1258715,0.342391241,0.580897544,0.103884938,0.484256716,0.322461629,0.410216961,0.449937415,0.378001564,0.402711903,0,0.15847
Portland (ME),ME,1600000US2360545,0.308989741,0.330706827,0.287272656,0.545271161,0.883857506,0.598917649,0.575329738,0.686875802,0.534547408,0,0.12568
Portland (OR),OR,1600000US4159000,0.460161383,0.485304241,0.435018525,0.502766669,0.532158188,0.552539908,0.235309579,0.91253055,0.509779594,1,0.038251
Providence,RI,1600000US4459000,0.739297512,0.540909433,0.937685591,0.629790138,0.547971271,0.337168305,0.061546036,0.561122065,0.388836813,1,0.071038
Provo,UT,1600000US4962470,0.350238757,0.46801538,0.232462133,0.365347899,0.429317138,0.506526684,0.237637217,0.674803542,0.607139294,0,0.095628
Pueblo,CO,1600000US0862000,0.405015973,0.643642148,0.166389797,0.763766919,0.476482623,0.417124155,0.283615988,0.672981541,0.294774936,0,0.11749
Raleigh,NC,1600000US3755000,0.289383129,0.298673318,0.28009294,0.216512834,0.619166198,0.713993872,0.850406608,0.716866488,0.57470852,0,0.10109
Rancho Cucamonga,CA,1600000US0659451,0.455786998,0.461122505,0.450451492,0.216239999,0.293994989,0.293747668,0.19864295,0.520915317,0.161684736,0,0.032787
Reno,NV,1600000US3260600,0.390732639,0.595801362,0.185663917,0.459049504,0.26744678,0.525029258,0.386093837,0.66091657,0.528077366,0,0.10656
Richmond (CA),CA,1600000US0660620,0.507835446,0.652519042,0.36315185,0.574859846,0.269821761,0.522149062,0.648784522,0.519341938,0.398320725,0,0.027322
Richmond (VA),VA,1600000US5167000,0.40844904,0.481746294,0.335151787,0.665078613,0.701586025,0.460151768,0.411260497,0.552069553,0.417125252,0,0.068306
Riverside,CA,1600000US0662000,0.516833971,0.640634189,0.393033753,0.474980246,0.193711867,0.31714882,0.115588753,0.434181246,0.401676462,0,0.030055
Rochester (MN),MN,1600000US2754880,0.228082339,0.294171378,0.1619933,0.342465935,0.75412318,0.735489105,0.911593432,0.707258146,0.587615737,0,0.10929
Rochester (NY),NY,1600000US3663000,0.572584596,0.509892187,0.635277005,0.765937935,0.746153561,0.548974565,0.587501739,0.495981249,0.563440707,0,0.11202
Rockford,IL,1600000US1765000,0.420163453,0.63075658,0.209570326,0.778577722,0.517064562,0.490213039,0.468038998,0.450072843,0.552527275,0,0.13934
Roseville,CA,1600000US0662938,0.365855915,0.38758131,0.344130519,0.288699928,0.513537308,0.407103854,0.579923595,0.623992779,0.017395189,0,0.038251
Sacramento,CA,1600000US0664000,0.5467114,0.573042819,0.52037998,0.543150454,0.397064816,0.345146817,0.214148354,0.683608811,0.137683286,0,0.040984
Salem,OR,1600000US4164900,0.473689881,0.632036368,0.315343393,0.64501849,0.380945753,0.432602073,0.034671002,0.705083574,0.558051642,0,0.038251
Salinas,CA,1600000US0664224,0.713418085,0.681340622,0.745495548,0.478816001,0.116134758,0.324397776,0.07314055,0.503192348,0.396860429,1,0.021858
Salt Lake City,UT,1600000US4967000,0.321504395,0.512144521,0.130864268,0.472576151,0.448287109,0.526261361,0.282787737,0.655503078,0.640493268,0,0.12295
San Antonio,TX,1600000US4865000,0.391412722,0.508465888,0.274359555,0.502931131,0.485999355,0.50610275,0.148603622,0.620492704,0.749211923,0,0.030055
San Bernardino,CA,1600000US0665000,0.583350947,0.812442269,0.354259626,0.774166413,0.149281875,0.24822229,0.186961654,0.282120852,0.275584364,0,0.051913
San Buenaventura,CA,1600000US0665042,0.545562595,0.549976834,0.541148357,0.481227112,0.381273444,0.283738681,0.441656923,0.40955912,0,0,0.0081967
San Diego,CA,1600000US0666000,0.466115182,0.507764658,0.424465706,0.307452294,0.291922978,0.605736509,0.602532726,0.725982669,0.488694131,25,0.021858
San Francisco,CA,1600000US0667000,0.693034234,0.386091876,0.999976591,0.319043661,0.546859909,0.684463672,0.560023701,0.847178596,0.646188718,0,0.060109
San Jose,CA,1600000US0668000,0.562177966,0.500484401,0.623871531,0.350408151,0.349439348,0.645898149,0.61492339,0.688501767,0.63426929,0,0.027322
San Juan,PR,1600000US7276770,0.595739785,0.431454597,0.760024974,0.665690281,0.802781088,0.385985588,0.210725485,0.351624073,0.595607206,0,
Santa Ana,CA,1600000US0669000,0.891088856,0.792655506,0.989522205,0.634995115,0.049684104,0.291458765,0.275412295,0.326476241,0.27248776,0,0.035519
Santa Clara,CA,1600000US0669084,0.586121478,0.436256218,0.735986738,0.284544553,0.412032118,0.514886758,0.575746028,0.745757046,0.223157201,0,0.027322
Santa Clarita,CA,1600000US0669088,0.389416237,0.447899759,0.330932716,0.216252853,0.320453335,0.345080214,0.198670978,0.513634658,0.322935005,0,0.032787
Santa Rosa,CA,1600000US0670098,0.484246909,0.536048565,0.432445253,0.517679402,0.445582271,0.429459843,0.447805412,0.696336112,0.144238006,0,0.02459
Savannah,GA,1600000US1369000,0.303675605,0.516489741,0.090861469,0.668330136,0.635350654,0.446266152,0.080288444,0.699720658,0.558789354,0,0.12295
Scottsdale,AZ,1600000US0465000,0.239592256,0.395078401,0.08410611,0.206732783,0.416575981,0.60728008,0.38946743,0.734318672,0.698054139,0,0.084699
Seattle,WA,1600000US5363000,0.524959646,0.333160099,0.716759193,0.266090628,0.599770429,0.759017637,0.752807785,0.885881536,0.638363589,0,0.02459
Shreveport,LA,1600000US2270000,0.290252875,0.456875703,0.123630048,0.673832299,0.760080893,0.4649911,0.281249445,0.64665205,0.467071804,0,0.092896
Simi Valley,CA,1600000US0672016,0.377323699,0.478314895,0.276332503,0.296066234,0.339436443,0.389418974,0.352383833,0.433985077,0.381888012,0,0.02459
Sioux Falls,SD,1600000US4659020,0.300237455,0.413506968,0.186967942,0.371627712,0.544613775,0.437545872,0.373764054,0.629366798,0.309506764,1,0.054645
South Bend,IN,1600000US1871000,0.448940222,0.690788921,0.207091524,0.745618556,0.364040714,0.402283358,0.490741395,0.487700171,0.22840851,0,0.15301
Spokane,WA,1600000US5367000,0.460765338,0.585113457,0.33641722,0.695012334,0.524785419,0.559129455,0.35800334,0.740868925,0.578516102,0,0.035519
Springfield (IL),IL,1600000US1772000,0.295689017,0.45278823,0.138589805,0.579788827,0.674212367,0.533423591,0.495305977,0.679144882,0.425819916,2,0.13388
Springfield (MA),MA,1600000US2567000,0.492306542,0.485366726,0.499246357,0.823788229,0.853054777,0.43469248,0.30641335,0.395353302,0.602310788,0,0.11202
Springfield (MO),MO,1600000US2970000,0.336741763,0.512750347,0.160733179,0.557151976,0.531651282,0.505702796,0.409745149,0.601641436,0.505721804,32,0.12295
St. Louis,MO,1600000US2965000,0.565084471,0.608066749,0.522102193,0.69369638,0.477562882,0.536212474,0.399960761,0.766436733,0.442239927,13,0.12295
St. Paul,MN,1600000US2758000,0.549560895,0.526922895,0.572198895,0.583860701,0.530014911,0.653543029,0.563688928,0.741242586,0.655697573,0,0.10383
St. Petersburg,FL,1600000US1263000,0.43961417,0.496173759,0.383054581,0.513326687,0.52097917,0.44461467,0.439717453,0.643612315,0.250514242,0,0.15574
Stamford,CT,1600000US0973000,0.388234658,0.457917109,0.318552208,0.47783262,0.561998402,0.558631895,0.537240516,0.711031703,0.427623467,0,0.07377
Sterling Heights,MI,1600000US2676460,0.393075949,0.433679312,0.352472585,0.448374846,0.581016222,0.461112059,0.445486531,0.544870966,0.39297868,1,0.14754
Stockton,CA,1600000US0675000,0.612827603,0.72836834,0.497286867,0.687073443,0.230336764,0.395892638,0.146345705,0.532928083,0.508404125,0,0.035519
Sunnyvale,CA,1600000US0677000,0.575313688,0.399209402,0.751417974,0.278423225,0.480004422,0.609705123,0.688351024,0.762307286,0.37845706,0,0.016393
Surprise,AZ,1600000US0471510,0.290879172,0.503403828,0.078354516,0.3133814,0.306573744,0.447137797,0.407034642,0.621725132,0.312653618,0,0.087432
Syracuse,NY,1600000US3673000,0.578716284,0.532006775,0.625425794,0.787049677,0.723036127,0.40576994,0.248536692,0.49704445,0.471728679,0,0.12295
Tacoma,WA,1600000US5370000,0.518012541,0.624575724,0.411449359,0.655165812,0.406014364,0.430133407,0.3092183,0.672306157,0.308875765,0,0.010929
Tallahassee,FL,1600000US1270600,0.230777624,0.32411192,0.137443328,0.32266456,0.67444072,0.465954013,0.500964141,0.687883855,0.209014043,0,0.087432
Tampa,FL,1600000US1271000,0.329701093,0.390514331,0.268887855,0.4974293,0.716400638,0.401614748,0.432305431,0.613252255,0.159286559,1,0.10383
Temecula,CA,1600000US0678120,0.392598356,0.43684095,0.348355762,0.180728641,0.307046741,0.354451172,0.230578876,0.520108889,0.312665753,0,0.032787
Tempe,AZ,1600000US0473000,0.468711321,0.499705785,0.437716857,0.187466009,0.18805444,0.448551085,0.15720732,0.657883137,0.530562797,0,0.081967
Thornton,CO,1600000US0877290,0.436735835,0.5209125,0.35255917,0.27795209,0.23612709,0.506756392,0.505945721,0.754048778,0.260274678,0,0.12568
Thousand Oaks,CA,1600000US0678582,0.312963793,0.428592915,0.19733467,0.283189671,0.426003842,0.484701354,0.655832506,0.459680304,0.338591253,0,0.016393
Toledo,OH,1600000US3977000,0.466767163,0.605896851,0.327637475,0.797319492,0.585525791,0.471459683,0.322365495,0.562642759,0.529370795,0,0.18033
Topeka,KS,1600000US2071000,0.369707573,0.568829347,0.170585799,0.660337205,0.522678512,0.489303472,0.346763207,0.661770414,0.459376794,0,0.087432
Torrance,CA,1600000US0680000,0.592103751,0.396035305,0.788172197,0.344258956,0.552188345,0.350724089,0.193809134,0.554439443,0.303923691,0,0.057377
Tucson,AZ,1600000US0477000,0.426072473,0.656977696,0.195167249,0.630329757,0.316374364,0.599583538,0.337418887,0.675535443,0.785796283,2,0.10929
Tulsa,OK,1600000US4075000,0.359868809,0.560310245,0.159427374,0.603264181,0.482643692,0.472237637,0.242901239,0.636678211,0.53713346,12,0.098361
Vallejo,CA,1600000US0681666,0.486179473,0.632517306,0.339841641,0.572214757,0.307180145,0.319354341,0.193155129,0.613850411,0.151057483,0,0.027322
Vancouver,WA,1600000US5374060,0.446642201,0.570432761,0.32285164,0.539650478,0.398784955,0.56869357,0.430358822,0.74234759,0.533374297,0,0.035519
Victorville,CA,1600000US0682590,0.403447691,0.684002949,0.122892433,0.5569468,0.188940901,0.289290042,0.261457979,0.282579202,0.323832944,0,0.057377
Virginia Beach,VA,1600000US5182000,0.23990335,0.34902404,0.13078266,0.278750383,0.580702303,0.469238388,0.159857618,0.640788745,0.607068801,0,0.10929
Visalia,CA,1600000US0682954,0.474660702,0.601254129,0.348067276,0.570924251,0.368415994,0.327525035,0.116316163,0.554371256,0.311887687,0,0.038251
Waco,TX,1600000US4876000,0.349339615,0.611664297,0.087014934,0.673430056,0.450101461,0.375346653,0.30345269,0.252106859,0.570480411,0,0.019126
Warren,MI,1600000US2684000,0.54332789,0.687412693,0.399243086,0.705613286,0.3307879,0.413131001,0.477624148,0.494138302,0.267630552,1,0.14754
Washington,DC,1600000US1150000,0.660971058,0.356543174,0.965398943,0.444802697,0.731716349,0.529712519,0.282197456,0.903896258,0.403043843,0,0.079235
Waterbury,CT,1600000US0980000,0.466913473,0.550946236,0.382880711,0.78340986,0.681517389,0.491355707,0.484325345,0.507682295,0.482059482,0,0.081967
West Covina,CA,1600000US0684200,0.635007762,0.527396126,0.742619397,0.378480233,0.323687981,0.310579726,0.288948447,0.374130941,0.26865979,0,0.032787
West Jordan,UT,1600000US4982950,0.40635204,0.483669738,0.329034341,0.260481041,0.293141565,0.472833823,0.391181541,0.710255535,0.317064391,0,0.12295
West Palm Beach,FL,1600000US1276600,0.305991033,0.476147661,0.135834405,0.453427275,0.501131953,0.417229382,0.493993375,0.287237842,0.470456928,1,0.13934
West Valley City,UT,1600000US4983470,0.550720893,0.722244185,0.3791976,0.506451459,0.061963088,0.319638533,0.205281642,0.486248955,0.267385001,0,0.12295
Westminster,CO,1600000US0883835,0.389233823,0.463309273,0.315158373,0.24522307,0.318604524,0.538916325,0.612449834,0.77176347,0.23253567,0,0.12568
Wichita,KS,1600000US2079000,0.396950106,0.590558692,0.203341519,0.531768288,0.350650905,0.511024615,0.240006675,0.60612548,0.68694169,0,0.079235
Wichita Falls,TX,1600000US4879000,0.367416259,0.630123815,0.104708703,0.541559991,0.281312361,0.310395176,0.121128249,0.283337956,0.526719322,0,0.081967
Wilmington (DE),DE,1600000US1077580,0.626518506,0.578144912,0.6748921,0.738683165,0.58239334,0.581270766,0.59660064,0.677913309,0.469298348,0,0.046448
Wilmington (NC),NC,1600000US3774440,0.269943634,0.361593322,0.178293947,0.448074454,0.72488781,0.602949893,0.536086129,0.686189002,0.586574549,0,0.11202
Winston-Salem,NC,1600000US3775000,0.279348618,0.421616522,0.137080714,0.548937632,0.705704587,0.580652704,0.559240278,0.649373352,0.533344481,0,0.079235
Worcester,MA,1600000US2582000,0.47122124,0.4282347,0.51420778,0.650286426,0.793817026,0.432551793,0.3963471,0.493697256,0.407611022,0,0.079235
Yonkers,NY,1600000US3684000,0.759106705,0.544284094,0.973929315,0.638756347,0.550188159,0.504108969,0.45109957,0.59609724,0.465130096,0,0.057377
