City,State,Geo.ID,Risk,Vulnerability,Exposure,Sensitivity,Adaptive Capacity,Readiness,Social,Governance,Economic,Historical Average Cost of Flood Event,Projected Cost of Flood Event,Probability of Flood Event in 2040,Probability of a flood between 2019 and 2040
Montgomery,AL,1600000US0151000,0.279779829,0.416685222,0.142874435,0.518742156,0.685371711,0.483647209,0.248126932,0.627367842,0.575446855,0,199220.4964,0,0
Moreno Valley,CA,1600000US0649270,0.354674601,0.472333129,0.237016074,0.376050957,0.431384699,0.231262611,0.053989277,0.314654377,0.325144179,18148.66667,212208.1688,0.0027322,0.054644
Murfreesboro,TN,1600000US4751560,0.39234247,0.301675836,0.483009104,0.233963082,0.63061141,0.552074374,0.461924417,0.634765201,0.559533505,500,3928627.808,0,0
Murrieta,CA,1600000US0650076,0.298402102,0.377897977,0.218906227,0.377091348,0.621295394,0.368771936,0.348385072,0.530265643,0.227665093,0,972990.6564,0.0027322,0.054644
Naperville,IL,1600000US1751622,0.390251018,0.269182437,0.511319599,0.248216539,0.709851665,0.606717388,0.572707443,0.622693159,0.624751562,6666.666667,360335.418,0.0027322,0.054644
New Haven,CT,1600000US0952000,0.666938157,0.558539487,0.775336826,0.668290127,0.551211153,0.464417465,0.507849591,0.581234695,0.30416811,0,348740.0861,0,0
New Orleans,LA,1600000US2255000,0.397415652,0.480159405,0.314671898,0.519573592,0.559254781,0.521103265,0.159590393,0.780092906,0.623626497,8410.5625,889626.7732,0.0027322,0.054644
New York,NY,1600000US3651000,0.352543214,0.522120887,0.182965542,0.670928895,0.626687122,0.465256972,0.068707608,0.736955294,0.590108014,361.4457831,660479.0645,0,0
Newark,NJ,1600000US3451000,0.479416907,0.674944966,0.283888848,0.685699436,0.335809505,0.420625141,0.089348106,0.558438273,0.614089045,0,556643.3422,0,0
Newport News,VA,1600000US5156000,0.487908192,0.409139657,0.566676727,0.468349075,0.650069761,0.408655582,0.289016498,0.486115322,0.450834928,87931.23529,1402808.015,0,0
Norfolk,VA,1600000US5157000,0.499176557,0.45649525,0.541857863,0.542541358,0.629550857,0.365310401,0.048586957,0.602883874,0.444460372,498966.5122,1163709.276,0,0
Norman,OK,1600000US4052500,0.336083887,0.483249317,0.188918458,0.354361165,0.387862531,0.504389886,0.284614046,0.652450528,0.576105084,28570.92593,587952.6156,0,0
North Las Vegas,NV,1600000US3251800,0.223179453,0.434546059,0.011812847,0.280154228,0.411062109,0.423037572,0.196847014,0.574610823,0.497654879,27502,1161897.241,0,0
Norwalk,CA,1600000US0652526,0.320734094,0.561941399,0.079526788,0.550877629,0.42699483,0.208787033,0.118533842,0.258035233,0.249792023,NA,605636.1546,0.0027322,0.054644
Oakland,CA,1600000US0653000,0.361947948,0.495949099,0.227946796,0.586791923,0.594893725,0.60214707,0.617030338,0.711046003,0.478364868,250,212357.715,0.0027322,0.054644
Oceanside,CA,1600000US0653322,0.371844107,0.501504364,0.242183849,0.55723142,0.554222692,0.556536801,0.674303308,0.658748283,0.336558813,0,545490.0465,0.0081967,0.163934
Oklahoma City,OK,1600000US4055000,0.265724448,0.405863817,0.125585079,0.439677354,0.627949719,0.507795801,0.253462567,0.618905303,0.651019532,133114.1633,858857.4315,0,0
Olathe,KS,1600000US2052575,0.250189818,0.295743968,0.204635668,0.238288958,0.646801021,0.545953812,0.644886771,0.717422259,0.275552406,0,1391156.705,0.0027322,0.054644
Omaha,NE,1600000US3137000,0.274807345,0.391381386,0.158233304,0.526067897,0.743305124,0.523643004,0.2101294,0.659964098,0.700835515,20573,485195.8533,0,0
Ontario,CA,1600000US0653896,0.341319092,0.574976785,0.107661398,0.563465238,0.413511667,0.213578548,0.135430617,0.25109544,0.254209586,12000,396321.0123,0,0
Orange,CA,1600000US0653980,0.376716284,0.364123166,0.389309402,0.517404891,0.789158559,0.3804699,0.506713065,0.345199535,0.2894971,0,1442646.743,0.0027322,0.054644
Orlando,FL,1600000US1253000,0.280909239,0.329756847,0.232061632,0.321182168,0.661668475,0.480056867,0.527004959,0.685325362,0.22784028,502,330347.458,0.010929,0.21858
Overland Park,KS,1600000US2053775,0.159574546,0.2616225,0.057526591,0.265581262,0.742336261,0.70865866,0.754876308,0.740480725,0.630618946,0,1886074.124,0.0027322,0.054644
Oxnard,CA,1600000US0654652,0.425904612,0.617560721,0.234248503,0.598018622,0.362897179,0.248254257,0.234226531,0.213017633,0.297518608,NA,442980.5681,0.0027322,0.054644
Palm Bay,FL,1600000US1254000,0.372631985,0.49110692,0.254157049,0.429284179,0.447070339,0.3072111,0.293524192,0.359600189,0.268508918,2500,372448.0533,0,0
Palmdale,CA,1600000US0655156,0.324829464,0.4985822,0.151076727,0.484872474,0.487708073,0.237598065,0.183483624,0.276550039,0.252760533,0,293071.2807,0.0027322,0.054644
Pasadena (CA),CA,1600000US0656000,0.41455856,0.391925221,0.437191899,0.438874415,0.655023973,0.22542905,0.184976659,0.462357496,0.028952995,NA,425211.2054,0.0027322,0.054644
Pasadena (TX),TX,1600000US4856000,0.592400378,0.69962727,0.485173486,0.490859596,0.091605055,0.294680744,0.12382514,0.485737142,0.274479951,330397.5,1181501.417,0,0
Paterson,NJ,1600000US3457000,0.706178382,0.730727184,0.681629579,0.737299065,0.275844697,0.377104801,0.146226633,0.377702858,0.607384914,0,1066519.53,0,0
Pembroke Pines,FL,1600000US1255775,0.701093489,0.609179527,0.79300745,0.480470139,0.262111084,0.515040754,0.420885074,0.583009821,0.541227368,51,1017702.453,0,0
Peoria (AZ),AZ,1600000US0454050,0.33417357,0.52433909,0.144008051,0.340715246,0.292037067,0.536359867,0.367982624,0.661296108,0.57980087,1913780.8,252224.3125,0.0054645,0.10929
Peoria (IL),IL,1600000US1759000,0.257897891,0.324217021,0.191578761,0.560094926,0.911660883,0.64470803,0.666778335,0.712678373,0.554667381,1913780.8,276388.6415,0.0027322,0.054644
Philadelphia,PA,1600000US4260000,0.326477061,0.524441152,0.128512971,0.711704017,0.662821714,0.570532309,0.282320324,0.750107189,0.679169413,108468.6265,12312829.55,0,0
Phoenix,AZ,1600000US0455000,0.34484645,0.481676155,0.208016745,0.428166495,0.464814185,0.478738741,0.181508193,0.578358744,0.676349286,107286.2364,1215419.552,0.0054645,0.10929
Pittsburgh,PA,1600000US4261000,0.34303463,0.419732906,0.266336354,0.597524946,0.758059134,0.56332298,0.524551291,0.751178564,0.414239084,33723.38095,1734357.11,0,0
Plano,TX,1600000US4858016,0.345514456,0.344791813,0.3462371,0.248386278,0.558802652,0.735970256,0.680927837,0.752273173,0.774709758,934.8888889,205785.0854,0,0
Pomona,CA,1600000US0658072,0.578052397,0.484611586,0.671493209,0.637233482,0.668010311,0.290655466,0.186377004,0.254196796,0.431392597,20531,1379963.609,0.0027322,0.054644
Ponce,PR,1600000US7263820,0.381940649,0.432304091,0.331577208,0.43416927,0.569561089,0.413045062,0.401945034,0.251956846,0.585233304,0,465949.709,,0
Port St. Lucie,FL,1600000US1258715,0.391326706,0.578523418,0.204129994,0.294048082,0.137001245,0.410216961,0.449937415,0.378001564,0.402711903,142971,346942.4128,0.0054645,0.10929
Portland (ME),ME,1600000US2360545,0.187862171,0.285806342,0.089918,0.483412986,0.911800302,0.598917649,0.575329738,0.686875802,0.534547408,108408.8621,784230.8411,0,0
Portland (OR),OR,1600000US4159000,0.426951582,0.436582625,0.417320538,0.521161728,0.647996478,0.552539908,0.235309579,0.91253055,0.509779594,283124.3636,645826.2221,0,0
Providence,RI,1600000US4459000,0.395208455,0.417674194,0.372742716,0.594797304,0.759448916,0.337168305,0.061546036,0.561122065,0.388836813,3308.090909,772202.3805,0,0
Provo,UT,1600000US4962470,0.283927174,0.406146922,0.161707427,0.409544004,0.597250161,0.506526684,0.237637217,0.674803542,0.607139294,8507,723052.0614,0,0
Pueblo,CO,1600000US0862000,0.296236973,0.415572273,0.176901673,0.619573715,0.788429168,0.417124155,0.283615988,0.672981541,0.294774936,0,1446088.187,0,0
Raleigh,NC,1600000US3755000,0.25485478,0.381523101,0.128186459,0.231269025,0.468222822,0.713993872,0.850406608,0.716866488,0.57470852,86907.68966,883749.2926,0,0
Rancho Cucamonga,CA,1600000US0659451,0.250477882,0.374384186,0.126571578,0.357788051,0.60901968,0.293747668,0.19864295,0.520915317,0.161684736,NA,567940.041,0,0
Reno,NV,1600000US3260600,0.337598723,0.470412978,0.204784468,0.5089758,0.568149844,0.525029258,0.386093837,0.66091657,0.528077366,0,1093966.384,0,0
Richmond (CA),CA,1600000US0660620,0.36777087,0.520074672,0.215467068,0.485397238,0.445247894,0.522149062,0.648784522,0.519341938,0.398320725,1060,512097.9447,0.0027322,0.054644
Richmond (VA),VA,1600000US5167000,0.398230028,0.412798764,0.383661292,0.562144167,0.736546639,0.460151768,0.411260497,0.552069553,0.417125252,132.5,781043.7947,0,0
Riverside,CA,1600000US0662000,0.357896784,0.477607627,0.238185941,0.460898654,0.505683399,0.31714882,0.115588753,0.434181246,0.401676462,88333.33333,452597.0511,0.0027322,0.054644
Rochester (MN),MN,1600000US2754880,0.289760825,0.208056571,0.37146508,0.401538058,0.985424916,0.735489105,0.911593432,0.707258146,0.587615737,31130.15789,399129.6222,0,0
Rochester (NY),NY,1600000US3663000,0.341601539,0.414619748,0.268583331,0.689020752,0.859781256,0.548974565,0.587501739,0.495981249,0.563440707,98578.83333,3513027.117,0,0
Rockford,IL,1600000US1765000,0.263323855,0.450709276,0.075938434,0.633992072,0.732573519,0.490213039,0.468038998,0.450072843,0.552527275,29277.9,702718.2278,0.0081967,0.163934
Roseville,CA,1600000US0662938,0.369734547,0.295449191,0.444019903,0.382543771,0.79164539,0.407103854,0.579923595,0.623992779,0.017395189,0,298770.1595,0.0081967,0.163934
Sacramento,CA,1600000US0664000,0.375108576,0.440058491,0.310158661,0.545018578,0.664901597,0.345146817,0.214148354,0.683608811,0.137683286,142.8571429,489018.6514,0.0081967,0.163934
Salem,OR,1600000US4164900,0.328206249,0.500269461,0.156143037,0.586788269,0.586249346,0.432602073,0.034671002,0.705083574,0.558051642,NA,365283.0759,0,0
Salinas,CA,1600000US0664224,0.38982228,0.713458197,0.066186363,0.567689866,0.140773472,0.324397776,0.07314055,0.503192348,0.396860429,NA,737279.6135,0.010929,0.21858
Salt Lake City,UT,1600000US4967000,0.334699492,0.48626445,0.183134534,0.469358703,0.496829802,0.526261361,0.282787737,0.655503078,0.640493268,66556.66667,421530.6423,0,0
San Antonio,TX,1600000US4865000,0.354362019,0.439281292,0.269442747,0.381195983,0.502633398,0.50610275,0.148603622,0.620492704,0.749211923,775.4537815,653796.6936,0.0054645,0.10929
San Bernardino,CA,1600000US0665000,0.403642789,0.625754955,0.181530624,0.72015906,0.46864915,0.24822229,0.186961654,0.282120852,0.275584364,2344,1196410.418,0.0027322,0.054644
San Buenaventura,CA,1600000US0665042,0.353294108,0.559882826,0.14670539,0.638546836,0.518781184,0.283738681,0.441656923,0.40955912,0,NA,941434.6637,0.0027322,0.054644
San Diego,CA,1600000US0666000,0.558713318,0.409884955,0.707541682,0.413844699,0.594074789,0.605736509,0.602532726,0.725982669,0.488694131,75305.09524,1074795.431,0.0081967,0.163934
San Francisco,CA,1600000US0667000,0.519538394,0.371469414,0.667607373,0.523149907,0.780211079,0.684463672,0.560023701,0.847178596,0.646188718,708.1904762,1865732.449,0.0027322,0.054644
San Jose,CA,1600000US0668000,0.547824692,0.436678781,0.658970603,0.485573185,0.612215624,0.645898149,0.61492339,0.688501767,0.63426929,1108.695652,506806.1113,0.010929,0.21858
San Juan,PR,1600000US7276770,0.295923263,0.334806235,0.257040292,0.454525763,0.784913293,0.385985588,0.210725485,0.351624073,0.595607206,2846.153846,834450.7173,,0
Santa Ana,CA,1600000US0669000,0.549017972,0.742879397,0.355156548,0.705125719,0.219366926,0.291458765,0.275412295,0.326476241,0.27248776,33333.33333,535755.8257,0.0027322,0.054644
Santa Clara,CA,1600000US0669084,0.680078934,0.363334097,0.996823772,0.421592624,0.694924431,0.514886758,0.575746028,0.745757046,0.223157201,0,1979975.181,0.010929,0.21858
Santa Clarita,CA,1600000US0669088,0.454994979,0.387744698,0.52224526,0.379159315,0.603669919,0.345080214,0.198670978,0.513634658,0.322935005,0,172700.2941,0.0027322,0.054644
Santa Rosa,CA,1600000US0670098,0.569500571,0.45155831,0.687442832,0.529103979,0.625987359,0.429459843,0.447805412,0.696336112,0.144238006,209152.5714,479424.5552,0.0027322,0.054644
Savannah,GA,1600000US1369000,0.502509416,0.457706271,0.54731256,0.529095416,0.613682874,0.446266152,0.080288444,0.699720658,0.558789354,1829.787234,632722.5017,0,0
Scottsdale,AZ,1600000US0465000,0.171844619,0.26595734,0.077731898,0.272755073,0.740840392,0.60728008,0.38946743,0.734318672,0.698054139,15222.26316,364367.3008,0.0027322,0.054644
Seattle,WA,1600000US5363000,0.441088691,0.356737678,0.525439704,0.391475445,0.678000089,0.759017637,0.752807785,0.885881536,0.638363589,89067,1189800.373,0,0
Shreveport,LA,1600000US2270000,0.468599049,0.544789283,0.392408815,0.600848539,0.511269973,0.4649911,0.281249445,0.64665205,0.467071804,4185.116667,1603777.171,0,0
Simi Valley,CA,1600000US0672016,0.408279672,0.527542319,0.289017024,0.351140286,0.296055647,0.389418974,0.352383833,0.433985077,0.381888012,0,4947505.781,0.0027322,0.054644
Sioux Falls,SD,1600000US4659020,0.303547584,0.293167017,0.313928151,0.419521274,0.83318724,0.437545872,0.373764054,0.629366798,0.309506764,6718.162791,190515.8504,0,0
South Bend,IN,1600000US1871000,0.320486818,0.530126449,0.110847187,0.644955296,0.584702398,0.402283358,0.490741395,0.487700171,0.22840851,0,1188075.78,0.0054645,0.10929
Spokane,WA,1600000US5367000,0.371269151,0.404606844,0.337931458,0.591814205,0.782600517,0.559129455,0.35800334,0.740868925,0.578516102,28203,1009189.587,0,0
Springfield (IL),IL,1600000US1772000,0.333122643,0.36484732,0.301397965,0.615255101,0.885560461,0.533423591,0.495305977,0.679144882,0.425819916,3089059,1450289.018,0.0054645,0.10929
Springfield (MA),MA,1600000US2567000,0.364070657,0.550703259,0.177438055,0.706827569,0.605421051,0.43469248,0.30641335,0.395353302,0.602310788,1983052.667,336516.4256,0,0
Springfield (MO),MO,1600000US2970000,0.286726032,0.383512357,0.189939707,0.526677684,0.759652971,0.505702796,0.409745149,0.601641436,0.505721804,174624.169,458540.7419,0,0
St. Louis,MO,1600000US2965000,0.344521427,0.458883816,0.230159039,0.668402565,0.750634933,0.536212474,0.399960761,0.766436733,0.442239927,12454.66667,434106.9319,0,0
St. Paul,MN,1600000US2758000,0.546024625,0.403828089,0.688221161,0.582014754,0.774358576,0.653543029,0.563688928,0.741242586,0.655697573,716666.6667,592659.3114,0,0
St. Petersburg,FL,1600000US1263000,0.540096669,0.467601297,0.612592041,0.562957428,0.627754835,0.44461467,0.439717453,0.643612315,0.250514242,0,580446.8503,0.013661,0.27322
Stamford,CT,1600000US0973000,0.351792055,0.435131068,0.268453043,0.435318974,0.565056838,0.558631895,0.537240516,0.711031703,0.427623467,244254.8571,228217.4505,0,0
Sterling Heights,MI,1600000US2676460,0.299515706,0.350899559,0.248131854,0.535455202,0.833656084,0.461112059,0.445486531,0.544870966,0.39297868,46675039,572351.256,0.0054645,0.10929
Stockton,CA,1600000US0675000,0.401071247,0.541066495,0.261076,0.567261652,0.485128662,0.395892638,0.146345705,0.532928083,0.508404125,0,387495.9205,0.0081967,0.163934
Sunnyvale,CA,1600000US0677000,0.363415306,0.549467358,0.177363255,0.568418646,0.46948393,0.609705123,0.688351024,0.762307286,0.37845706,0,419588.0479,0.010929,0.21858
Surprise,AZ,1600000US0471510,0.21415398,0.351635036,0.076672924,0.338927228,0.635657155,0.447137797,0.407034642,0.621725132,0.312653618,89948.83333,4477079.565,0.010929,0.21858
Syracuse,NY,1600000US3673000,0.266897014,0.474743877,0.05905015,0.731726922,0.782239168,0.40576994,0.248536692,0.49704445,0.471728679,291732.3333,1337195.663,0,0
Tacoma,WA,1600000US5370000,0.420804302,0.607059338,0.234549265,0.53152223,0.317403553,0.430133407,0.3092183,0.672306157,0.308875765,35802.66667,1928654.144,0,0
Tallahassee,FL,1600000US1270600,0.537468756,0.495949136,0.578988377,0.359114352,0.36721608,0.465954013,0.500964141,0.687883855,0.209014043,2377.966667,1138784.506,0,0
Tampa,FL,1600000US1271000,0.286578496,0.324547985,0.248609007,0.432987768,0.783891797,0.401614748,0.432305431,0.613252255,0.159286559,503271.6667,849485.2626,0.0054645,0.10929
Temecula,CA,1600000US0678120,0.176992364,0.305726114,0.048258614,0.228611997,0.617159769,0.354451172,0.230578876,0.520108889,0.312665753,NA,383090.7652,0.0027322,0.054644
Tempe,AZ,1600000US0473000,0.396318146,0.634649055,0.157987238,0.44846059,0.17916248,0.448551085,0.15720732,0.657883137,0.530562797,7825.571429,584059.6766,0.0027322,0.054644
Thornton,CO,1600000US0877290,0.270766204,0.397213536,0.144318871,0.346317796,0.551890724,0.506756392,0.505945721,0.754048778,0.260274678,50426.75,688436.4491,0,0
Thousand Oaks,CA,1600000US0678582,0.287961638,0.338714035,0.237209242,0.376779302,0.699351233,0.484701354,0.655832506,0.459680304,0.338591253,0,759207.8017,0.0027322,0.054644
Toledo,OH,1600000US3977000,0.416444716,0.502947949,0.329941483,0.686506823,0.680610925,0.471459683,0.322365495,0.562642759,0.529370795,3268330,1054686.23,0,0
Topeka,KS,1600000US2071000,0.256137294,0.419207135,0.093067453,0.588142189,0.749727918,0.489303472,0.346763207,0.661770414,0.459376794,0,723711.6683,0,0
Torrance,CA,1600000US0680000,0.335361648,0.495210533,0.175512763,0.523387121,0.532966056,0.350724089,0.193809134,0.554439443,0.303923691,0,646536.1547,0.0027322,0.054644
Tucson,AZ,1600000US0477000,0.392542485,0.554177092,0.230907878,0.595469071,0.487114886,0.599583538,0.337418887,0.675535443,0.785796283,27349.225,636246.1557,0.0081967,0.163934
Tulsa,OK,1600000US4075000,0.525492082,0.438110817,0.612873348,0.490827676,0.614606042,0.472237637,0.242901239,0.636678211,0.53713346,1477.272727,685539.6108,0,0
Vallejo,CA,1600000US0681666,0.418981078,0.499625345,0.338336812,0.593394647,0.594143957,0.319354341,0.193155129,0.613850411,0.151057483,NA,344279.4496,0.0027322,0.054644
Vancouver,WA,1600000US5374060,0.348873116,0.603039656,0.094706576,0.490569739,0.284490427,0.56869357,0.430358822,0.74234759,0.533374297,745205.3333,544016.241,0,0
Victorville,CA,1600000US0682590,0.421630002,0.597894347,0.245365658,0.472934662,0.277145968,0.289290042,0.261457979,0.282579202,0.323832944,411291.5385,520958.9784,0.0027322,0.054644
Virginia Beach,VA,1600000US5182000,0.459367796,0.418889643,0.499845949,0.297400779,0.459621492,0.469238388,0.159857618,0.640788745,0.607068801,99880.52778,902642.9892,0,0
Visalia,CA,1600000US0682954,0.523776618,0.419077334,0.628475901,0.519946298,0.681791631,0.327525035,0.116316163,0.554371256,0.311887687,646128.3333,790513.9525,0.0027322,0.054644
Waco,TX,1600000US4876000,0.616396137,0.486446068,0.746346207,0.50022765,0.527335514,0.375346653,0.30345269,0.252106859,0.570480411,10016.65,898173.3622,0.0027322,0.054644
Warren,MI,1600000US2684000,0.280835238,0.536758578,0.024911899,0.700652071,0.627134915,0.413131001,0.477624148,0.494138302,0.267630552,0,501361.3675,0.0054645,0.10929
Washington,DC,1600000US1150000,0.241790012,0.33796987,0.145610153,0.528882671,0.85294293,0.529712519,0.282197456,0.903896258,0.403043843,0,651599.7236,0,0
Waterbury,CT,1600000US0980000,0.394806098,0.654008064,0.135604131,0.67538015,0.367364022,0.491355707,0.484325345,0.507682295,0.482059482,NA,570689.5928,0,0
West Covina,CA,1600000US0684200,0.357944969,0.406449948,0.309439991,0.433220765,0.620320869,0.310579726,0.288948447,0.374130941,0.26865979,NA,883726.5793,0.0027322,0.054644
West Jordan,UT,1600000US4982950,0.406276975,0.518769174,0.293784777,0.315539351,0.278001003,0.472833823,0.391181541,0.710255535,0.317064391,24418,516898.4344,0,0
West Palm Beach,FL,1600000US1276600,0.712650698,0.523481935,0.901819462,0.353338518,0.306374649,0.417229382,0.493993375,0.287237842,0.470456928,9173.111111,1401394.77,0,0
West Valley City,UT,1600000US4983470,0.429539831,0.719829481,0.13925018,0.544009271,0.104350309,0.319638533,0.205281642,0.486248955,0.267385001,NA,1501797.355,0,0
Westminster,CO,1600000US0883835,0.206362268,0.349906774,0.062817762,0.324606448,0.624792899,0.538916325,0.612449834,0.77176347,0.23253567,910844.5,824383.8065,0,0
Wichita,KS,1600000US2079000,0.343827128,0.474634277,0.21301998,0.524708286,0.575439732,0.511024615,0.240006675,0.60612548,0.68694169,16737.30909,1277740.372,0.0081967,0.163934
Wichita Falls,TX,1600000US4879000,0.42557763,0.526426396,0.324728865,0.479149577,0.426296785,0.310395176,0.121128249,0.283337956,0.526719322,8470.6,646648.8046,0,0
Wilmington (DE),DE,1600000US1077580,0.558242865,0.518288089,0.59819764,0.698900747,0.66232457,0.581270766,0.59660064,0.677913309,0.469298348,22564,403089.0118,0,0
Wilmington (NC),NC,1600000US3774440,0.434050523,0.378696606,0.489404441,0.45281797,0.695424757,0.602949893,0.536086129,0.686189002,0.586574549,43683.83607,1326603.062,0,0
Winston-Salem,NC,1600000US3775000,0.294662218,0.387440972,0.201883464,0.487052442,0.712170498,0.580652704,0.559240278,0.649373352,0.533344481,3000,548792.1784,0,0
Worcester,MA,1600000US2582000,0.330688528,0.378131234,0.283245822,0.586747657,0.830485189,0.432551793,0.3963471,0.493697256,0.407611022,39151.88889,188757.642,0,0
Yonkers,NY,1600000US3684000,0.455841027,0.528220387,0.383461668,0.671344364,0.614903591,0.504108969,0.45109957,0.59609724,0.465130096,0,1057720.974,0,0
